P1_time_percent,P1_error_X,P1_error_Y,P1_error_Angle,P2_time_percent,P2_error_X,P2_error_Y,P2_error_Angle,P3_time_percent,P3_error_X,P3_error_Y,P3_error_Angle,P4_time_percent,P4_error_X,P4_error_Y,P4_error_Angle,P5_time_percent,P5_error_X,P5_error_Y,P5_error_Angle
2797133000000,-1.40551757812,-8.17503356934,25.724313736,2800141000000,1.83218383789,0.280548095703,14.8251752853,2788721000000,-9.60263061523,4.34518432617,18.3802623749,2795133000000,-8.24029541016,10.6138000488,11.9692668915,2802277000000,7.8239440918,0.777038574219,24.2919368744
2797133000000,-1.5612487793,-7.90905761719,25.9723625183,2800141000000,1.01184082031,0.163513183594,14.7484025955,2788721000000,-10.378112793,4.03565979004,18.2874965668,2795249000000,-7.55422973633,9.7825012207,13.5228948593,2802365000000,7.99942016602,0.982330322266,24.2456245422
2797257000000,-1.10409545898,-7.7459564209,25.4520874023,2800253000000,1.07263183594,0.0818939208984,14.7524089813,2788809000000,-10.3732299805,3.61152648926,18.2710571289,2795249000000,-8.07949829102,9.66136169434,14.0754966736,2802449000000,8.17486572266,1.18760681152,24.1993141174
2797337000000,-0.25146484375,-8.26976013184,24.7770805359,2800361000000,1.76596069336,-0.280014038086,14.2075071335,2788889000000,-9.97412109375,3.63357543945,17.9245510101,2795381000000,-8.50891113281,9.23443603516,14.03794384,2802533000000,8.44534301758,2.04164123535,27.3518047333
2797337000000,-0.576721191406,-8.20962524414,25.7603111267,2800469000000,2.42904663086,0.503555297852,11.4709291458,2788889000000,-9.52825927734,4.38670349121,17.8629760742,2795509000000,-8.93835449219,8.80749511719,14.0003900528,2802533000000,7.78204345703,2.37644958496,26.5657272339
2797433000000,-0.0144348144531,-8.42065429688,25.7464752197,2800469000000,2.51733398438,-0.0709228515625,10.2694759369,2788977000000,-9.4616394043,3.26335144043,17.7937927246,2795629000000,-6.3483581543,10.4921264648,14.0563898087,2802625000000,7.89279174805,2.6402130127,26.6368713379
2797605000000,0.5478515625,-8.63168334961,25.7326393127,2800469000000,2.00350952148,0.0854797363281,10.5483007431,2789077000000,-9.62268066406,2.69305419922,17.5909004211,2795733000000,-7.51416015625,7.29644775391,14.2188177109,2802729000000,8.00354003906,2.90399169922,26.7080154419
2797709000000,1.11010742188,-8.84271240234,25.7188034058,2800569000000,2.02236938477,-0.197525024414,11.3011064529,2789161000000,-9.40798950195,2.4146270752,18.1609287262,2795861000000,-8.05587768555,5.37252807617,14.6944789886,2802825000000,4.2453918457,4.03144836426,26.8681983948
2797825000000,2.91317749023,-8.56973266602,24.8305244446,2800669000000,1.67639160156,-0.326583862305,11.2847900391,2789261000000,-8.04727172852,1.3270111084,18.0208244324,2795977000000,-8.34411621094,4.73948669434,14.6992321014,2802917000000,4.0348815918,4.36692810059,26.9438552856
2797925000000,3.57461547852,-8.74206542969,24.7688694,2800761000000,1.2190246582,-0.869827270508,11.9364643097,2789433000000,-7.23867797852,1.11688232422,17.4856128693,2796069000000,-7.4826965332,6.37062072754,15.0982227325,2803145000000,5.37042236328,3.33464050293,26.0423851013
2798021000000,4.42074584961,-5.54301452637,24.4904117584,2800857000000,1.70266723633,-0.174575805664,11.890827179,2789549000000,-6.9977722168,0.702728271484,17.4368667603,2796185000000,-7.46572875977,6.91682434082,16.2370624542,2803241000000,6.79144287109,3.26979064941,25.5488395691
2798125000000,5.63577270508,-5.29341125488,21.6079044342,2800949000000,1.48907470703,-0.606658935547,11.7270956039,2789657000000,-6.93243408203,0.885864257812,17.6181850433,2796273000000,-6.60726928711,6.91938781738,15.5862598419,2803333000000,8.12881469727,3.7951965332,24.2217063904
2798221000000,6.35983276367,-5.17063903809,21.3852653503,2800949000000,2.50381469727,-0.26921081543,11.4657764435,2789777000000,-6.3537902832,2.03884887695,17.1579418182,2796397000000,-6.61361694336,7.45722961426,15.6904363632,2803433000000,8.29675292969,4.01919555664,24.1542243958
2798313000000,7.08389282227,-5.04788208008,21.1626243591,2800949000000,1.79397583008,0.125244140625,11.1571998596,2789889000000,-5.63388061523,2.43283081055,16.6245059967,2796513000000,-6.68502807617,7.21667480469,15.7396478653,2803521000000,9.38455200195,2.81317138672,22.6424274445
2798401000000,6.07473754883,-6.32856750488,22.3976249695,2801049000000,2.14764404297,-0.00958251953125,11.2760105133,2789997000000,-4.98657226562,2.74446105957,15.8253040314,2796637000000,-5.39697265625,8.01405334473,16.1382293701,2803521000000,9.20111083984,2.8540802002,22.1612491608
2798501000000,6.65447998047,-6.32266235352,22.2509994507,2801049000000,1.31195068359,-0.579559326172,10.6497173309,2789997000000,-5.71780395508,2.37780761719,15.7432413101,2796749000000,-5.35006713867,7.8638458252,16.2064971924,2803633000000,9.87326049805,2.73138427734,21.1074962616
