P1_time_percent,P1_error_X,P1_error_Y,P1_error_Angle,P2_time_percent,P2_error_X,P2_error_Y,P2_error_Angle,P3_time_percent,P3_error_X,P3_error_Y,P3_error_Angle,P4_time_percent,P4_error_X,P4_error_Y,P4_error_Angle,P5_time_percent,P5_error_X,P5_error_Y,P5_error_Angle,PD1_time_percent,PD1_error_X,PD1_error_Y,PD1_error_Angle,PD2_time_percent,PD2_error_X,PD2_error_Y,PD2_error_Angle,PD3_time_percent,PD3_error_X,PD3_error_Y,PD3_error_Angle,PD4_time_percent,PD4_error_X,PD4_error_Y,PD4_error_Angle,PD5_time_percent,PD5_error_X,PD5_error_Y,PD5_error_Angle,PID1_time_percent,PID1_error_X,PID1_error_Y,PID1_error_Angle,PID2_time_percent,PID2_error_X,PID2_error_Y,PID2_error_Angle,PID3_time_percent,PID3_error_X,PID3_error_Y,PID3_error_Angle,PID4_time_percent,PID4_error_X,PID4_error_Y,PID4_error_Angle,PID5_time_percent,PID5_error_X,PID5_error_Y,PID5_error_Angle
2839785000000,142.719741821,116.509269714,-36.9900245667,2791697000000,156.662963867,108.199386597,-38.9154624939,2880469000000,157.18069458,104.585067749,-33.5193061829,2802321000000,131.71774292,100.464309692,-25.9486961365,2787377000000,144.080444336,108.727935791,-37.7211608887,2857189000000,141.639404297,119.161323547,-32.0305137634,2880285000000,146.640518188,118.454910278,-37.732837677,2821049000000,145.996643066,114.501991272,-32.8522148132,2810653000000,132.663040161,104.176208496,-38.728729248,2799969000000,138.562438965,99.5084686279,-36.565990448,2789485000000,182.524475098,139.400970459,-36.5561332703,2801409000000,143.784927368,107.567855835,-38.6828689575,2844341000000,165.801086426,106.747253418,-35.5391082764,2782809000000,160.511276245,119.082244873,-43.4114379883,2846573000000,180.640609741,131.607727051,-22.7022705078
2839893000000,142.800460815,116.509361267,-37.0425109863,2791809000000,165.827392578,120.680137634,-38.6856040955,2880553000000,157.210876465,104.953369141,-33.4154777527,2802421000000,133.034866333,103.664093018,-28.0607757568,2787473000000,143.859359741,108.565429688,-37.865322113,2857541000000,141.027389526,119.217720032,-32.1720733643,2880377000000,146.924560547,118.504547119,-37.7940597534,2821129000000,146.280593872,114.593437195,-32.9017944336,2810777000000,132.788833618,104.28678894,-38.7939529419,2800061000000,138.402023315,99.5510253906,-36.5479545593,2789577000000,185.47328186,141.659072876,-36.5165214539,2801497000000,150.650085449,117.486473083,-38.6931419373,2844433000000,166.811553955,108.199691772,-35.4838066101,2782929000000,160.970245361,119.412483215,-44.1017913818,2846649000000,183.349914551,134.575683594,-22.2532062531
2839981000000,133.373016357,113.625785828,-35.5091781616,2791921000000,152.898483276,111.143035889,-35.9481124878,2880661000000,157.241043091,105.321670532,-33.3116493225,2802525000000,132.93258667,103.984344482,-27.7210693359,2787573000000,136.78817749,114.994041443,-39.8241653442,2858057000000,140.415374756,119.274116516,-32.3136291504,2880473000000,147.208587646,118.554191589,-37.8552818298,2821273000000,179.044494629,138.417144775,-32.6152534485,2810853000000,132.914627075,104.397384644,-38.8591766357,2800165000000,138.241622925,99.5935974121,-36.529914856,2789661000000,188.422103882,143.917175293,-36.4769134521,2801497000000,153.707015991,121.466407776,-39.3464431763,2844525000000,160.885147095,109.202102661,-36.857460022,2783045000000,161.429199219,119.742729187,-44.7921447754,2846757000000,149.602050781,118.550064087,-24.5696964264
2840061000000,132.659286499,113.384941101,-35.4829902649,2791921000000,146.633575439,108.228302002,-35.4895477295,2880781000000,180.673171997,130.866821289,-14.3996076584,2802625000000,154.155700684,126.520149231,-29.2379455566,2787649000000,136.019226074,115.358695984,-40.0668106079,2858293000000,139.803359985,119.330513,-32.4551849365,2880589000000,147.492614746,118.60382843,-37.9165039062,2821373000000,181.768432617,140.291412354,-32.6485862732,2810981000000,133.040420532,104.507965088,-38.9244003296,2800249000000,138.081207275,99.6361541748,-36.5118789673,2789749000000,197.172607422,163.47479248,-36.2434005737,2801593000000,136.685501099,108.645401001,-39.2255744934,2844625000000,161.301345825,110.615982056,-36.8783836365,2783153000000,161.888168335,120.072967529,-45.4825019836,2847021000000,149.132751465,119.862014771,-24.26587677
2840241000000,131.945571899,113.144096375,-35.4568061829,2792029000000,146.355514526,108.482635498,-35.3576927185,2880881000000,191.004211426,142.33946228,-0.419366657734,2802733000000,155.862426758,128.724914551,-28.9994182587,2787781000000,135.250274658,115.723350525,-40.3094558716,2858461000000,139.191345215,119.386909485,-32.5967407227,2880701000000,147.776641846,118.6534729,-37.9777259827,2821477000000,184.492385864,142.165710449,-32.6819152832,2811105000000,133.166229248,104.618545532,-38.9896240234,2800333000000,137.920806885,99.6787261963,-36.4938430786,2789849000000,200.600891113,167.162582397,-36.1935653687,2801593000000,129.568374634,103.264312744,-41.0769920349,2844729000000,161.717544556,112.029876709,-36.8993034363,2783257000000,170.851074219,167.894348145,-40.8788490295,2847129000000,148.663467407,121.173973083,-23.9620571136
2840361000000,131.231842041,112.903251648,-35.4306221008,2792153000000,146.077438354,108.736953735,-35.2258338928,2880977000000,187.544021606,140.866943359,-6.37404584885,2802821000000,147.696838379,124.506736755,-30.2038211823,2787889000000,134.481307983,116.087997437,-40.55210495,2858789000000,138.579330444,119.44329834,-32.7383003235,2880813000000,148.060668945,118.703109741,-38.0389480591,2821573000000,187.216323853,144.039993286,-32.7152442932,2811189000000,133.292022705,104.729141235,-39.0548439026,2800445000000,137.760391235,99.721282959,-36.4758033752,2789941000000,204.029174805,170.850372314,-36.1437301636,2801689000000,128.64982605,103.194168091,-41.4667358398,2844845000000,225.874725342,180.082000732,-14.3841209412,2783353000000,171.956237793,171.833343506,-41.298412323,2847273000000,148.194168091,122.485923767,-23.6582355499
2840453000000,130.518112183,112.662406921,-35.4044380188,2792269000000,145.799377441,108.991287231,-35.0939788818,2880977000000,190.504806519,140.309661865,2.48000264168,2802917000000,143.951263428,123.446929932,-30.6908473969,2787985000000,153.926696777,138.690002441,-14.0077733994,2859005000000,104.902801514,137.601043701,-28.3406600952,2880913000000,148.344696045,118.752754211,-38.1001701355,2821661000000,189.940261841,145.914276123,-32.7485771179,2811281000000,133.417816162,104.83972168,-39.1200675964,2800529000000,137.599990845,99.7638549805,-36.4577674866,2790041000000,207.457443237,174.538162231,-36.0938949585,2801801000000,127.731262207,103.124008179,-41.8564796448,2844973000000,231.546142578,186.989974976,-13.2271099091,2783453000000,173.061401367,175.772338867,-41.7179718018,2847369000000,152.235733032,125.844932556,-25.9657421112
2840561000000,129.804397583,112.421554565,-35.3782539368,2792381000000,160.033630371,129.83706665,-34.410282135,2881093000000,184.271911621,137.466461182,-3.70216941833,2803021000000,142.493545532,123.426979065,-31.6497745514,2788077000000,154.740982056,140.796325684,-12.8797674179,2859121000000,90.3941497803,123.459449768,-25.9594726562,2881009000000,148.628738403,118.802391052,-38.1613922119,2821765000000,192.664215088,147.78855896,-32.7819061279,2811365000000,133.543624878,104.950317383,-39.1852912903,2800701000000,137.439575195,99.806427002,-36.4397315979,2790129000000,210.885726929,178.225952148,-36.0440597534,2801901000000,126.812698364,103.053863525,-42.2462234497,2845065000000,237.217544556,193.897949219,-12.070098877,2783545000000,174.166549683,179.711334229,-42.1375350952,2847461000000,148.415802002,124.954360962,-28.332075119
2840665000000,129.090667725,112.180709839,-35.3520698547,2792477000000,154.369766235,126.002731323,-34.8660125732,2881189000000,179.339569092,135.032821655,-7.96955299377,2803113000000,138.006286621,122.463241577,-31.7249832153,2788145000000,155.555252075,142.902664185,-11.7517604828,2859221000000,79.8126068115,117.033058167,-24.6299495697,2881113000000,148.912765503,118.852035522,-38.2226142883,2821861000000,195.388153076,149.662841797,-32.8152351379,2811477000000,133.669418335,105.060897827,-39.2505149841,2800789000000,137.279174805,99.8489837646,-36.4216918945,2790233000000,157.698120117,138.829971313,-36.3399620056,2801989000000,125.894134521,102.983718872,-42.6359672546,2845177000000,242.888946533,200.805923462,-10.9130887985,2783645000000,175.271713257,183.65032959,-42.557094574,2847461000000,148.724578857,125.080253601,-28.3004951477
2840797000000,128.376937866,111.939865112,-35.3258857727,2792597000000,154.693664551,127.414855957,-34.7374038696,2881301000000,175.755722046,131.172088623,0.726601600647,2803205000000,134.029891968,119.430397034,-32.2559623718,2788277000000,142.403747559,132.384857178,-16.9046287537,2859325000000,75.5021972656,116.475868225,-24.4050922394,2881245000000,149.196792603,118.901672363,-38.2838401794,2821969000000,198.112091064,151.537139893,-32.8485679626,2811549000000,136.576766968,127.281913757,-36.1749229431,2800889000000,137.118759155,99.8915557861,-36.4036560059,2790341000000,156.843582153,139.258605957,-36.3072547913,2802081000000,124.975585938,102.913574219,-43.0257110596,2845301000000,248.56036377,207.713897705,-9.75607776642,2783805000000,135.930847168,145.439468384,-36.4798698425,2847557000000,146.951522827,123.991622925,-28.5666713715
