P1_time_percent,P1_Xc,P1_Yc,P1_W,P1_H,P1_angle,P2_time_percent,P2_Xc,P2_Yc,P2_W,P2_H,P2_angle,P3_time_percent,P3_Xc,P3_Yc,P3_W,P3_H,P3_angle,P4_time_percent,P4_Xc,P4_Yc,P4_W,P4_H,P4_angle,P5_time_percent,P5_Xc,P5_Yc,P5_W,P5_H,P5_angle,PI1_time_percent,PI1_Xc,PI1_Yc,PI1_W,PI1_H,PI1_angle,PI2_time_percent,PI2_Xc,PI2_Yc,PI2_W,PI2_H,PI2_angle,PI3_time_percent,PI3_Xc,PI3_Yc,PI3_W,PI3_H,PI3_angle,PI4_time_percent,PI4_Xc,PI4_Yc,PI4_W,PI4_H,PI4_angle,PI5_time_percent,PI5_Xc,PI5_Yc,PI5_W,PI5_H,PI5_angle,PID1_time_percent,PID1_Xc,PID1_Yc,PID1_W,PID1_H,PID1_angle,PID2_time_percent,PID2_Xc,PID2_Yc,PID2_W,PID2_H,PID2_angle,PID3_time_percent,PID3_Xc,PID3_Yc,PID3_W,PID3_H,PID3_angle,PID4_time_percent,PID4_Xc,PID4_Yc,PID4_W,PID4_H,PID4_angle,PID5_time_percent,PID5_Xc,PID5_Yc,PID5_W,PID5_H,PI5_angle
2839785000000,177.280258179,123.490730286,51.6395568848,51.1962661743,-36.9900245667,2791697000000,163.337036133,131.800613403,49.9398956299,51.8502120972,-38.9154624939,2880469000000,162.81930542,135.414932251,57.6113548279,54.9856681824,-33.5193061829,2802321000000,188.28225708,139.535690308,49.6607322693,47.0406570435,-25.9486961365,2787377000000,175.919555664,131.272064209,48.7614974976,52.5338630676,-37.7211608887,2860869000000,171.501724243,111.743041992,56.5297775269,57.6465263367,-36.6607131958,2795269000000,173.776031494,126.681015015,51.8819580078,52.5735092163,-34.6847991943,2789853000000,171.28704834,126.075653076,49.8995132446,52.2629394531,-40.3435630798,2794001000000,169.762023926,135.54359436,51.8422546387,53.9485054016,-27.4569416046,2783693000000,163.217880249,125.412101746,52.8835601807,52.0444755554,-30.2522945404,2789485000000,137.475524902,100.599029541,52.1493682861,54.8870582581,-36.5561332703,2801409000000,176.215072632,132.432144165,48.0604438782,48.97473526,-38.6828689575,2844341000000,154.198913574,133.252746582,52.5278358459,52.5542526245,-35.5391082764,2782809000000,159.488723755,120.917755127,55.1183891296,54.2972831726,-43.4114379883,2846573000000,139.359390259,108.39226532,53.0919189453,55.8978614807,-22.7022705078
2839893000000,177.199539185,123.490638733,51.5868034363,51.1234931946,-37.0425109863,2791809000000,154.172607422,119.319862366,50.563419342,54.2086410522,-38.6856040955,2880553000000,162.789123535,135.046630859,57.8281326294,55.0977058411,-33.4154777527,2802421000000,186.965133667,136.335906982,49.6537704468,47.6887626648,-28.0607757568,2787473000000,176.140640259,131.434570312,48.5545959473,52.5194816589,-37.865322113,2860869000000,171.287124634,109.16860199,58.7008399963,54.7863693237,-21.0564823151,2795385000000,165.984573364,116.50038147,53.1114883423,53.6300735474,-34.2201156616,2789941000000,172.14793396,123.563842773,50.0692176819,52.0930175781,-40.2489013672,2794001000000,169.876861572,135.105926514,52.0938796997,53.7240791321,-29.1129245758,2783789000000,163.386550903,125.88469696,52.6974449158,51.8851470947,-30.1606082916,2789577000000,134.52671814,98.340927124,52.1282424927,55.010181427,-36.5165214539,2801497000000,169.349914551,122.513526917,48.3483390808,49.9153556824,-38.6931419373,2844433000000,153.188446045,131.800308228,52.7309112549,52.7282066345,-35.4838066101,2782929000000,159.029754639,120.587516785,55.0890197754,54.3786201477,-44.1017913818,2846649000000,136.650085449,105.424324036,53.2668266296,56.1712989807,-22.2532062531
2839981000000,186.626983643,126.374214172,51.2660827637,50.4033203125,-35.5091781616,2791921000000,167.101516724,128.856964111,51.2644500732,55.3075027466,-35.9481124878,2880661000000,162.758956909,134.678329468,58.0449066162,55.2097396851,-33.3116493225,2802525000000,187.06741333,136.015655518,49.6975708008,47.6358070374,-27.7210693359,2787573000000,183.21182251,125.005958557,49.6008796692,52.3206748962,-39.8241653442,2860973000000,170.774658203,107.689224243,58.9281997681,54.7609634399,-20.1087188721,2795465000000,165.506332397,115.80254364,53.1342964172,53.6843338013,-34.1169166565,2789941000000,172.735351562,122.129692078,50.091960907,52.1864395142,-39.7735671997,2794089000000,169.800384521,135.255752563,52.1259078979,53.7953910828,-29.0567569733,2783893000000,161.751831055,112.686080933,53.8614234924,53.4538383484,-32.4763259888,2789661000000,131.577896118,96.0828170776,52.1071166992,55.1333045959,-36.4769134521,2801497000000,166.292984009,118.533592224,49.1985664368,50.77085495,-39.3464431763,2844525000000,159.114852905,130.797897339,52.595615387,52.6743812561,-36.857460022,2783045000000,158.570800781,120.257270813,55.0596466064,54.4599571228,-44.7921447754,2846757000000,170.397949219,121.449935913,52.7717437744,55.8971786499,-24.5696964264
2840061000000,187.340713501,126.615058899,51.2000350952,50.2984275818,-35.4829902649,2791921000000,173.366424561,131.771697998,51.1596679688,54.9122657776,-35.4895477295,2880781000000,139.326828003,109.13318634,60.9484710693,56.0183410645,-14.3996076584,2802625000000,165.844299316,113.479850769,50.7484436035,49.9946403503,-29.2379455566,2787649000000,183.980773926,124.641304016,49.4619903564,52.2962837219,-40.0668106079,2861057000000,187.631225586,122.882064819,57.5577354431,54.1560897827,-24.1753425598,2795741000000,165.028106689,115.104698181,53.1571044922,53.7385940552,-34.0137176514,2790021000000,176.801940918,122.947357178,50.2138328552,52.4718055725,-39.4309806824,2794205000000,172.033126831,135.117080688,52.6672515869,54.473526001,-29.4615249634,2783997000000,161.774795532,112.053909302,53.739566803,53.3767623901,-32.4992294312,2789749000000,122.827392578,76.5251998901,54.4813575745,60.4521408081,-36.2434005737,2801593000000,183.314498901,131.354598999,48.8267021179,49.8709793091,-39.2255744934,2844625000000,158.698654175,129.384017944,52.7806434631,52.83618927,-36.8783836365,2783149000000,158.111831665,119.927032471,55.0302772522,54.5412940979,-45.4825019836,2847021000000,170.867248535,120.137985229,52.9114685059,56.1418571472,-24.26587677
2840237000000,188.054428101,126.855903625,51.1339912415,50.1935348511,-35.4568061829,2792029000000,173.644485474,131.517364502,51.2292671204,55.1005516052,-35.3576927185,2880881000000,128.995788574,97.6605377197,63.3316192627,56.8003005981,-0.419366657734,2802733000000,164.137573242,111.27507782,50.8471260071,50.0731201172,-28.9994182587,2787781000000,184.749725342,124.276649475,49.3231048584,52.2718925476,-40.3094558716,2861061000000,190.664260864,125.944030762,57.2929916382,53.6427650452,-27.8974781036,2795829000000,164.549865723,114.406860352,53.1799087524,53.7928543091,-33.9105186462,2790101000000,168.115112305,114.086967468,50.4225463867,53.6875114441,-37.472026825,2794321000000,172.157730103,135.241790771,52.724822998,54.5752716064,-29.428478241,2784117000000,150.605926514,95.7152786255,55.6277122498,57.7415657043,-33.3517608643,2789849000000,119.399116516,72.8374176025,54.5865478516,60.8492469788,-36.1935653687,2801593000000,190.431625366,136.735687256,49.397441864,50.5232276917,-41.0769920349,2844729000000,158.282455444,127.970123291,52.9656715393,52.9979934692,-36.8993034363,2783257000000,149.148925781,72.1056594849,57.7822875977,59.9785652161,-40.8788490295,2847129000000,171.336532593,118.826026917,53.0511894226,56.3865394592,-23.9620571136
2840361000000,188.768157959,127.096748352,51.0679473877,50.0886421204,-35.4306221008,2792153000000,173.922561646,131.263046265,51.298866272,55.2888336182,-35.2258338928,2880977000000,132.455978394,99.13306427,62.5352210999,58.7446975708,-6.37404584885,2802821000000,172.303161621,115.493263245,50.7106285095,51.0664749146,-30.2038211823,2787889000000,185.518692017,123.912002563,49.1842155457,52.2475013733,-40.55210495,2861061000000,192.701919556,126.654891968,56.5989265442,53.8905830383,-29.1324443817,2795921000000,164.071624756,113.709014893,53.2027168274,53.847114563,-33.8073196411,2790197000000,158.696609497,101.250282288,51.8002281189,51.6326293945,-25.7237758636,2794429000000,172.282318115,135.366485596,52.7823944092,54.6770210266,-29.3954315186,2784245000000,149.680587769,93.7522964478,55.6006355286,57.8739318848,-33.4137802124,2789941000000,115.970832825,69.1496276855,54.691734314,61.2463531494,-36.1437301636,2801689000000,191.35017395,136.805831909,49.4307861328,50.5692749023,-41.4667358398,2844845000000,94.1252822876,59.9179916382,63.8799552917,55.6533546448,-14.3841209412,2783353000000,148.043762207,68.1666641235,57.8951911926,60.3338623047,-41.298412323,2847273000000,171.805831909,117.514076233,53.1909103394,56.6312179565,-23.6582355499
2840453000000,189.481887817,127.337593079,51.0018997192,49.9837493896,-35.4044380188,2792269000000,174.200622559,131.008712769,51.3684654236,55.4771194458,-35.0939788818,2880977000000,129.495193481,99.6903381348,69.0955123901,61.5364761353,2.48000264168,2802917000000,176.048736572,116.553070068,50.9928627014,52.4324951172,-30.6908473969,2787985000000,166.073303223,101.309997559,60.159324646,54.2958183289,-14.0077733994,2861161000000,193.954879761,126.938766479,56.6771469116,53.8279037476,-28.7714138031,2796021000000,166.437728882,104.960403442,57.1124458313,49.8788261414,-7.19748449326,2790281000000,157.305175781,98.8051147461,51.8609848022,51.5977554321,-25.0830497742,2794525000000,139.246871948,94.0627288818,53.2502250671,58.862991333,-31.6148929596,2784365000000,148.755249023,91.78931427,55.5735588074,58.0063018799,-33.4758033752,2790041000000,112.542556763,65.4618377686,54.7969245911,61.6434593201,-36.0938949585,2801801000000,192.268737793,136.875991821,49.4641265869,50.6153182983,-41.8564796448,2844973000000,88.4538650513,53.0100212097,64.6257858276,55.9454956055,-13.2271099091,2783453000000,146.938598633,64.2276687622,58.0080909729,60.6891593933,-41.7179718018,2847369000000,167.764266968,114.155067444,54.1668968201,58.1685066223,-25.9657421112
2840561000000,190.195602417,127.578445435,50.9358558655,49.8788566589,-35.3782539368,2792377000000,159.966369629,110.162940979,52.9814910889,56.7381744385,-34.410282135,2881093000000,135.728088379,102.533531189,67.8245925903,62.0765190125,-3.70216941833,2803021000000,177.506454468,116.573020935,51.1875953674,52.7659759521,-31.6497745514,2788077000000,165.259017944,99.203666687,60.5891265869,54.3774833679,-12.8797674179,2861277000000,195.207839966,127.222640991,56.7553672791,53.7652206421,-28.4103832245,2796117000000,166.174697876,103.653419495,57.3245506287,49.7371826172,-5.80337333679,2790433000000,174.306869507,112.714141846,51.8348960876,52.1328353882,-25.0232410431,2794633000000,146.465881348,99.2182617188,53.946849823,62.1999015808,-34.5955314636,2784469000000,147.829925537,89.8263320923,55.5464820862,58.138671875,-33.5378265381,2790129000000,109.114273071,61.774055481,54.9021110535,62.040561676,-36.0440597534,2801901000000,193.187301636,136.946136475,49.4974708557,50.6613616943,-42.2462234497,2845065000000,82.7824554443,46.1020507812,65.3716125488,56.2376365662,-12.070098877,2783545000000,145.833450317,60.2886734009,58.1209907532,61.0444602966,-42.1375350952,2847461000000,171.584197998,115.045639038,54.3473815918,58.2938995361,-28.332075119
2840665000000,190.909332275,127.819290161,50.8698120117,49.7739639282,-35.3520698547,2792477000000,165.630233765,113.997268677,53.3176574707,56.3785400391,-34.8660125732,2881189000000,140.660430908,104.967178345,66.4634552002,62.8154525757,-7.96955299377,2803113000000,181.993713379,117.536758423,51.190120697,53.4734191895,-31.7249832153,2788145000000,164.444747925,97.0973358154,61.0189247131,54.4591522217,-11.7517604828,2861389000000,196.460800171,127.506523132,56.8335876465,53.7025413513,-28.0493526459,2796193000000,165.91166687,102.346435547,57.5366592407,49.595539093,-4.40926170349,2790517000000,195.555374146,134.946670532,50.8070335388,50.251209259,-26.3286342621,2794733000000,144.697906494,96.6457290649,54.056137085,62.6591567993,-34.8215103149,2784581000000,146.904586792,87.8633499146,55.519405365,58.2710418701,-33.5998458862,2790233000000,162.301879883,101.170028687,56.2594718933,61.9340286255,-36.3399620056,2801989000000,194.105865479,137.016281128,49.5308151245,50.7074050903,-42.6359672546,2845177000000,77.1110458374,39.1940765381,66.1174468994,56.5297775269,-10.9130887985,2783645000000,144.728286743,56.3496780396,58.2338905334,61.3997573853,-42.557094574,2847461000000,171.275421143,114.919746399,54.751083374,59.2325897217,-28.3004951477
2840797000000,191.623062134,128.060134888,50.8037643433,49.6690711975,-35.3258857727,2792593000000,165.306335449,112.585144043,53.4764633179,56.5910987854,-34.7374038696,2881301000000,144.244277954,108.827919006,68.3882598877,63.5220718384,0.726601600647,2803205000000,185.970108032,120.569602966,51.2124252319,53.3528518677,-32.2559623718,2788277000000,177.596252441,107.615135193,59.2504997253,56.2297706604,-16.9046287537,2861501000000,197.713745117,127.790397644,56.9118080139,53.6398620605,-27.6883220673,2796293000000,165.648635864,101.039459229,57.7487640381,49.4538955688,-3.01515054703,2790597000000,197.976150513,141.710403442,50.2204971313,49.0345802307,-26.6943321228,2794833000000,142.929946899,94.0731887817,54.1654243469,63.1184120178,-35.047492981,2784689000000,169.20942688,97.8366088867,56.321685791,61.2417449951,-33.3328552246,2790341000000,163.156417847,100.741401672,56.4266967773,62.3061828613,-36.3072547913,2802081000000,195.024414062,137.086425781,49.5641593933,50.753452301,-43.0257110596,2845297000000,71.4396286011,32.2861061096,66.8632736206,56.8219184875,-9.75607776642,2783805000000,184.069152832,94.5605316162,57.8867073059,63.0180015564,-36.4798698425,2847557000000,173.048477173,116.008377075,54.9280967712,60.2337837219,-28.5666713715
