P1_time_percent,P1_Xc,P1_Yc,P1_W,P1_H,P1_angle,P2_time_percent,P2_Xc,P2_Yc,P2_W,P2_H,P2_angle,PD1_time_percent,PD1_Xc,PD1_Yc,PD1_W,PD1_H,PD1_angle,PD2_time_percent,PD2_Xc,PD2_Yc,PD2_W,PD2_H,PD2_angle,PD3_time_percent,PD3_Xc,PD3_Yc,PD3_W,PD3_H,PD3_angle,PD4_time_percent,PD4_Xc,PD4_Yc,PD4_W,PD4_H,PD4_angle
1.54393907313698E+018,70.8886642456,75.1675109863,1247.06591797,337.163269043,-74.6029205322,1.54393922320394E+018,187.124633789,111.631851196,87.9557113647,74.7888183594,23.3992004395,1.5439381128432E+018,154.892364502,185.548461914,46.656867981,49.3305778503,-1.11878669262,1.5439384843773E+018,73.2006149292,104.222991943,59.992729187,55.9305877686,-9.96702766418,1.54402785418295E+018,191.264816284,92.8427429199,68.2831115723,56.8007507324,61.8010482788,1.54402863018911E+018,149.560455322,76.7792434692,66.6089324951,62.3298416138,-38.0725021362
1.54393907330221E+018,68.9551086426,73.5911102295,1304.39025879,351.437988281,-76.6730728149,1.54393922333446E+018,189.020584106,112.762908936,88.8084335327,75.513885498,23.6240310669,1.54393811315532E+018,154.947280884,182.514129639,45.5483436584,48.5350265503,-1.57455658913,1.54393848459153E+018,70.6836776733,105.415077209,59.2566986084,54.7630081177,-12.1335039139,1.54402785434118E+018,191.185592651,91.6162796021,65.2542495728,56.5099182129,64.1266555786,1.54402863029142E+018,150.699050903,77.3637619019,67.1084213257,62.7972450256,-38.3571128845
1.54393907348387E+018,56.7166633606,118.877128601,199.952682495,89.8695526123,-27.5616474152,1.54393922353554E+018,190.916534424,113.893959045,89.6611480713,76.2389526367,23.8488616943,1.54393811342951E+018,155.002212524,179.479797363,44.4398193359,47.7394790649,-2.03032660484,1.54393848483936E+018,68.1667404175,106.607162476,58.5206718445,53.5954246521,-14.2999811172,1.54402785448076E+018,191.106369019,90.3898239136,62.2253799438,56.2190895081,66.4522705078,1.54402863037547E+018,151.837646484,77.9482803345,67.6079101562,63.2646484375,-38.6417274475
1.54393907370215E+018,53.2920074463,124.08164978,126.002342224,72.9750518799,-23.848405838,1.5439392237628E+018,192.812484741,115.025016785,90.5138702393,76.9640197754,24.0736942291,1.54393811376663E+018,155.057128906,176.445465088,43.3312911987,46.9439277649,-2.48609662056,1.54393848498025E+018,69.4437561035,103.699630737,58.3056030273,58.9849662781,-10.4230146408,1.54402785461362E+018,186.731735229,85.7104492188,75.6421737671,86.8769378662,62.3912849426,1.54402863043468E+018,152.976257324,78.5327987671,68.1073989868,63.7320480347,-38.9263381958
1.54393907403652E+018,53.0712203979,113.919799805,47.0803337097,53.0455169678,-29.5267620087,1.54393922397751E+018,194.708435059,116.156074524,91.3665847778,77.6890869141,24.2985248566,1.54393811398302E+018,155.112060547,173.411148071,42.2227668762,46.1483802795,-2.94186663628,1.54393848521594E+018,68.1411972046,103.579498291,57.6580162048,58.9305801392,-11.5634889603,1.54402785470636E+018,185.226287842,83.3374938965,74.9894714355,91.0577545166,63.7941207886,1.54402863054701E+018,154.114852905,79.1173171997,68.6068878174,64.1994476318,-39.2109489441
1.54393907423594E+018,51.0360107422,112.460250854,-27.5987510681,35.7061386108,-27.1901550293,1.54393922412064E+018,196.604385376,117.287124634,92.2192993164,78.4141540527,24.523355484,1.543938114215E+018,155.166976929,170.376815796,41.114238739,45.3528289795,-3.39763665199,1.54393848543075E+018,66.8386383057,103.459373474,57.0104293823,58.8761940002,-12.703962326,1.54402785486927E+018,183.720825195,80.9645385742,74.336769104,95.2385635376,65.1969604492,1.54402863063184E+018,155.253448486,79.7018356323,69.1063842773,64.6668548584,-39.4955596924
1.54393907446646E+018,49.0008049011,111.000694275,-102.277839661,18.3667602539,-24.8535480499,1.54393922424803E+018,198.500335693,118.418182373,93.0720214844,79.1392211914,24.7481861115,1.54393811483669E+018,155.221893311,167.342483521,40.0057144165,44.5572814941,-3.85340666771,1.54393848564912E+018,58.2293281555,108.223655701,58.3433303833,60.1018867493,1.0884642601,1.5440278552391E+018,182.215362549,78.591583252,73.6840667725,99.419380188,66.5998001099,1.54402863072094E+018,156.392044067,80.2863540649,69.6058731079,65.1342544556,-39.7801704407
1.54393907468563E+018,46.9655990601,109.541145325,-176.956924438,1.02738058567,-22.5169410706,1.5439392244434E+018,200.396270752,119.549240112,93.9247360229,79.8642883301,24.9730167389,1.54393811501586E+018,155.276824951,164.308151245,38.8971862793,43.7617301941,-4.30917692184,1.54393848585235E+018,56.0520401001,114.270820618,60.5894393921,60.5049972534,4.27219152451,1.54402785559714E+018,180.709915161,76.2186279297,73.0313568115,103.600189209,68.0026397705,1.54402863078615E+018,157.530654907,80.8708724976,70.1053619385,65.6016540527,-40.064781189
1.54393907496274E+018,44.930393219,108.081596375,-251.636001587,-16.3119983673,-20.1803340912,1.54393922467433E+018,202.292221069,120.680290222,94.7774581909,80.5893554688,25.1978492737,1.54393811526132E+018,155.331741333,161.273834229,37.7886619568,42.9661827087,-4.76494693756,1.54393848599977E+018,53.1514205933,118.085968018,60.7190856934,60.7062568665,5.93714141846,1.54402785569237E+018,179.204452515,73.8456726074,72.37865448,107.78099823,69.4054794312,1.54402863086723E+018,158.669250488,81.4553985596,70.604850769,66.0690612793,-40.3493919373
1.54393907517681E+018,42.8951873779,106.622047424,-326.315093994,-33.6513786316,-17.8437271118,1.54393922487311E+018,204.188171387,121.811347961,95.6301727295,81.3144226074,25.4226799011,1.54393811545513E+018,155.386657715,158.239501953,36.6801338196,42.1706314087,-5.22071695328,1.54393848622658E+018,50.2508049011,121.901123047,60.8487319946,60.9075164795,7.60209131241,1.54402785587698E+018,177.698989868,71.4727172852,71.7259521484,111.96181488,70.8083190918,1.54402863095857E+018,159.807846069,82.0399169922,71.1043395996,66.5364608765,-40.6340026855
