1_time_percent,1_error_X,1_error_Y,1_error_Angle,2_time_percent,2_error_X,2_error_Y,2_error_Angle,3_time_percent,3_error_X,3_error_Y,3_error_Angle,4_time_percent,4_error_X,4_error_Y,4_error_Angle,5_time_percent,5_error_X,5_error_Y,5_error_Angle,6_time_percent,6_error_X,6_error_Y,6_error_Angle
2817537000000.0,165.406860352,112.532249451,-37.1351509094,2792253000000.0,136.607894897,66.360244751,-36.1378898621,2795981000000.0,166.808792114,37.1741333008,-38.7153816223,2793537000000.0,153.018341064,18.8418273926,-37.4818992615,2795545000000.0,145.687133789,14.4287719727,-36.3777160645,2831453000000,139.788253784,-6.93064880371,-33.9875679016
2817637000000.0,167.4453125,113.975128174,-37.1470947266,2792345000000.0,136.552307129,66.3586730957,-36.1168174744,2796053000000.0,168.13494873,37.5389251709,-38.6957435608,2793657000000.0,153.671051025,18.9524536133,-37.4030456543,2795657000000.0,146.841003418,14.8683013916,-36.3373756409,2831569000000,139.83807373,-6.82022094727,-33.9382171631
2817733000000.0,169.483779907,115.417999268,-37.1590423584,2792441000000.0,136.49671936,66.3571014404,-36.095741272,2796261000000.0,169.461105347,37.9037322998,-38.6761054993,2793745000000.0,154.323776245,19.063079834,-37.3241920471,2795745000000.0,147.994873047,15.3078308105,-36.2970314026,2831697000000,139.887908936,-6.70979309082,-33.8888626099
2817861000000.0,171.522247314,116.860877991,-37.1709899902,2792549000000.0,136.441131592,66.3555297852,-36.0746650696,2796345000000.0,170.787246704,38.2685241699,-38.6564712524,2793861000000.0,154.976501465,19.1737060547,-37.2453384399,2795837000000.0,149.148742676,15.7473754883,-36.2566871643,2831793000000,139.937728882,-6.59936523438,-33.8395080566
2817941000000.0,173.560699463,118.303749084,-37.1829376221,2792645000000.0,136.385543823,66.3539581299,-36.0535926819,2796429000000.0,172.11340332,38.63331604,-38.6368331909,2793945000000.0,155.629226685,19.2843322754,-37.1664848328,2795925000000.0,150.302612305,16.1869049072,-36.2163467407,2831873000000,139.987564087,-6.48895263672,-33.7901573181
2818073000000.0,167.561859131,123.979049683,-35.239200592,2792737000000.0,136.329956055,66.3523712158,-36.0325164795,2796521000000.0,162.194107056,43.0673370361,-38.6678352356,2794061000000.0,145.308227539,22.3874511719,-37.4765548706,2796009000000.0,151.456481934,16.6264343262,-36.1760025024,2831961000000,140.037384033,-6.37852478027,-33.7408027649
2818165000000.0,169.055435181,125.708862305,-35.1552429199,2792837000000.0,136.274368286,66.3507995605,-36.0114402771,2796613000000.0,162.765899658,43.7050933838,-38.6505088806,2794165000000.0,144.777023315,23.2864074707,-38.7284584045,2796101000000.0,152.610351562,17.0659637451,-36.1356620789,2832057000000,140.087219238,-6.26809692383,-33.6914482117
2818169000000.0,155.25100708,116.788421631,-34.3037719727,2792949000000.0,136.218765259,66.3492279053,-35.9903678894,2796701000000.0,151.239364624,40.7048187256,-37.3710517883,2794249000000.0,144.627243042,23.6539459229,-38.7220001221,2796225000000.0,153.764221191,17.5054931641,-36.0953178406,2832145000000,140.137039185,-6.15766906738,-33.6420974731
2818409000000.0,155.497329712,117.649917603,-34.1830329895,2793049000000.0,136.16317749,66.34765625,-35.969291687,2796773000000.0,150.82434082,41.0458374023,-37.2968940735,2794369000000.0,144.477478027,24.021484375,-38.7155418396,2796309000000.0,154.91809082,17.9450378418,-36.054977417,2832229000000,142.759063721,-2.59150695801,-36.4636993408
2818485000000.0,155.743652344,118.511405945,-34.062297821,2793149000000.0,136.107589722,66.3460845947,-35.9482154846,2796865000000.0,150.409317017,41.3868560791,-37.2227363586,2794453000000.0,139.07800293,21.4873809814,-38.4668960571,2796425000000.0,156.07194519,18.3845672607,-36.0146331787,2832325000000,142.958282471,-2.28038024902,-36.5212135315
2818561000000.0,155.989974976,119.372894287,-33.9415588379,2793245000000.0,136.052001953,66.3445129395,-35.9271430969,2796961000000.0,149.994308472,41.7278747559,-37.1485748291,2794589000000.0,136.378250122,19.310043335,-38.0578918457,2796521000000.0,157.225814819,18.8240966797,-35.9742927551,2832481000000,143.157501221,-1.96923828125,-36.5787315369
2818649000000.0,156.236297607,120.234382629,-33.8208236694,2793341000000.0,145.353134155,74.2534942627,-35.8218612671,2797065000000.0,149.579284668,42.0689086914,-37.0744171143,2794661000000.0,133.255691528,17.1855010986,-37.4032020569,2796653000000.0,113.285049438,11.2647094727,-35.9969787598,2832577000000,131.546310425,-5.80668640137,-36.745803833
2818737000000.0,136.960922241,99.9495697021,-34.4297142029,2793437000000.0,143.027877808,72.7081298828,-36.1794052124,2797165000000.0,135.569946289,32.1390533447,-38.1709976196,2794789000000.0,132.271453857,16.924911499,-37.339466095,2796741000000.0,111.861373901,11.2470397949,-35.9590835571,2832669000000,129.733154297,-7.96374511719,-36.9247436523
2818893000000.0,135.716537476,99.1963043213,-34.3424224854,2793597000000.0,143.315429688,73.0264434814,-36.1690254211,2797261000000.0,134.115264893,31.6945800781,-38.1485443115,2794865000000.0,131.287231445,16.6643218994,-37.2757339478,2796829000000.0,110.437713623,11.2293548584,-35.9211921692,2832765000000,128.893066406,-8.17208862305,-36.9909172058
2818973000000.0,134.472167969,98.4430389404,-34.2551345825,2793685000000.0,143.602966309,73.3447418213,-36.1586456299,2797357000000.0,132.660583496,31.2501220703,-38.1260948181,2795001000000.0,125.21383667,11.6450958252,-37.5137825012,2796913000000.0,109.014038086,11.2116851807,-35.8833007812,2832845000000,128.052978516,-8.38043212891,-37.057094574
2819061000000.0,122.988861084,84.0056915283,-32.5083999634,2793765000000.0,143.89050293,73.6630554199,-36.1482658386,2797461000000.0,131.205917358,30.8056488037,-38.10364151,2795081000000.0,123.802276611,10.9849395752,-37.4648933411,2797049000000.0,107.590377808,11.1940155029,-35.8454055786,2832965000000,127.212890625,-8.58877563477,-37.1232681274
2819157000000.0,120.913208008,82.1414337158,-32.3461151123,2793853000000.0,144.17805481,73.9813690186,-36.1378898621,2797557000000.0,118.960952759,21.8703613281,-3.47940707207,2795157000000.0,122.390716553,10.3247833252,-37.4160003662,2797141000000.0,106.166717529,11.1763458252,-35.8075141907,2833049000000,126.372802734,-8.79711914062,-37.1894454956
2819261000000.0,118.837539673,80.2771759033,-32.1838302612,2793973000000.0,144.465591431,74.2996826172,-36.1275100708,2797689000000.0,116.660324097,20.7602081299,-1.94289970398,2795257000000.0,120.979171753,9.6646270752,-37.3671112061,2797225000000.0,104.743041992,11.1586761475,-35.769618988,2833137000000,125.532714844,-9.00546264648,-37.2556190491
2819349000000.0,116.761871338,78.4129180908,-32.0215454102,2794053000000.0,144.753128052,74.617980957,-36.1171302795,2797713000000.0,113.336288452,17.0799407959,-12.4141607285,2795389000000.0,119.567611694,9.0044708252,-37.3182220459,2797317000000.0,103.319381714,11.1409912109,-35.7317276001,2833285000000,124.692626953,-9.21380615234,-37.3217964172
2819441000000.0,114.686218262,76.5486755371,-31.8592624664,2794177000000.0,145.040679932,74.9362945557,-36.1067504883,2797897000000.0,110.357711792,14.1902160645,-20.0289268494,2795465000000.0,111.101043701,3.7668762207,-37.4256286621,2797449000000.0,101.895706177,11.1233215332,-35.6938362122,2833381000000,114.43560791,-16.2300415039,-36.6749420166
2819593000000.0,107.576873779,69.3523254395,-33.3722343445,2794261000000.0,145.328216553,75.2546081543,-36.096370697,2797989000000.0,106.749938965,11.5986328125,-24.7829113007,2795585000000.0,109.154098511,2.7593536377,-37.3843917847,2797537000000.0,100.472045898,11.1056518555,-35.6559410095,2833473000000,111.211715698,-17.5116882324,-37.0119171143
2819677000000.0,104.522628784,67.8764038086,-34.7711257935,2794361000000.0,122.662826538,54.4262695312,-39.9093780518,2798129000000.0,103.910293579,10.3948516846,-27.644071579,2795677000000.0,104.530822754,0.69856262207,-38.4990653992,2797613000000.0,99.0483856201,11.0879821777,-35.6180496216,2833561000000,109.558029175,-18.2546386719,-37.0608940125
2819757000000.0,102.014801025,65.6740722656,-34.7492141724,2794453000000.0,121.434036255,53.3475646973,-40.0471916199,2798213000000.0,101.339355469,8.8620300293,-27.4225654602,2795809000000.0,102.361160278,-0.396621704102,-38.5140991211,2797721000000.0,97.624710083,11.0703125,-35.5801582336,2833641000000,107.904342651,-18.9975585938,-37.1098709106
2819889000000.0,99.5069732666,63.4717559814,-34.727306366,2794601000000.0,120.205230713,52.2688751221,-40.1850013733,2798293000000.0,99.5538635254,8.64526367188,-29.3782119751,2795901000000.0,100.191497803,-1.49179077148,-38.5291290283,2797809000000.0,96.2010498047,11.0526275635,-35.542263031,2833745000000,106.250656128,-19.7405090332,-37.1588516235
2819965000000.0,96.999130249,61.2694396973,-34.7053947449,2794681000000.0,105.215255737,41.2084960938,-37.9144172668,2798385000000.0,95.9480895996,8.28353881836,-32.0180778503,2795985000000.0,98.0218353271,-2.58697509766,-38.5441589355,2797925000000.0,94.7773742676,11.0349578857,-35.5043716431,2833837000000,98.953994751,-22.2148742676,-37.778175354
2820093000000.0,94.4913024902,59.0671234131,-34.6834869385,2794761000000.0,102.218826294,38.3739776611,-37.5009384155,2798465000000.0,93.3496704102,7.14944458008,-34.8048439026,2796081000000.0,95.8521728516,-3.68215942383,-38.5591926575,2798013000000.0,93.3537139893,11.017288208,-35.4664764404,2833953000000,96.8476409912,-23.0967102051,-37.8527526855
2820157000000.0,91.9834747314,56.8648071289,-34.6615753174,2794865000000.0,99.8257751465,36.4095458984,-37.5241317749,2798589000000.0,90.749420166,5.84284973145,-34.972278595,2796185000000.0,92.0342102051,-4.9328918457,-37.5637588501,2798145000000.0,91.9300537109,10.9996185303,-35.4285850525,2834061000000,94.7412872314,-23.9785461426,-37.9273262024
2820281000000.0,90.5028839111,55.108215332,-35.263381958,2795005000000.0,97.432723999,34.4451141357,-37.5473251343,2798669000000.0,88.1491699219,4.5362701416,-35.1397094727,2796277000000.0,89.7390594482,-6.03991699219,-37.531036377,2798237000000.0,90.5063781738,10.9819488525,-35.3906936646,2834173000000,92.6349334717,-24.8603515625,-38.0018997192
2820373000000.0,88.4625549316,53.1588134766,-35.3536148071,2795081000000.0,92.2026824951,31.3879852295,-37.2739868164,2798785000000.0,86.6781768799,4.70617675781,-36.1272315979,2796369000000.0,87.4438934326,-7.14694213867,-37.4983100891,2798313000000.0,89.0827178955,10.964263916,-35.3527984619,2834245000000,86.4439544678,-25.3401184082,-37.7225494385
2820461000000.0,85.7160949707,51.7109375,-34.4215965271,2795213000000.0,91.4108886719,29.3058776855,-39.4054908752,2798877000000.0,84.1723327637,3.52301025391,-36.3381309509,2796473000000.0,84.6097717285,-7.73223876953,-36.9132041931,2798417000000.0,87.6590423584,10.9465942383,-35.314907074,2834365000000,84.0155944824,-26.190246582,-37.7809791565
2820565000000.0,83.2857055664,49.6218719482,-34.3884010315,2795289000000.0,88.7533111572,27.8443908691,-39.9039726257,2798985000000.0,81.8430786133,3.41539001465,-37.7883453369,2796645000000.0,82.270980835,-8.7970123291,-36.8547668457,2798521000000.0,86.2353820801,10.9289245605,-35.2770118713,2834453000000,84.0429534912,-25.784576416,-37.1580886841
2820657000000.0,82.7260894775,48.1929168701,-34.3678245544,2795365000000.0,86.2661743164,25.8394622803,-40.0281257629,2799073000000.0,79.3522338867,2.32362365723,-38.0649261475,2796773000000.0,79.9321746826,-9.86180114746,-36.796333313,2798625000000.0,84.8117218018,10.9112548828,-35.2391204834,2834581000000,81.8212890625,-26.5290222168,-37.1851005554
2820757000000.0,79.8770141602,47.1196899414,-34.001121521,2795469000000.0,83.7790527344,23.8345336914,-40.1522789001,2799181000000.0,77.8049926758,2.57260131836,-39.1479454041,2796849000000.0,78.1298217773,-9.4419708252,-37.8862838745,2798721000000.0,60.8020935059,-8.33865356445,-39.8478050232,2834661000000,79.5996246338,-27.2734375,-37.2121124268
2820845000000.0,78.664276123,45.0628967285,-34.2784881592,2795633000000.0,83.8944854736,22.6904907227,-39.532283783,2799325000000.0,75.3948822021,1.59555053711,-39.4671096802,2796933000000.0,76.3886871338,-9.94087219238,-37.8882789612,2798721000000.0,59.6622924805,-8.76414489746,-38.6540718079,2834757000000,77.3779449463,-28.0178833008,-37.2391204834
2821017000000.0,75.7051544189,43.0900421143,-34.8401374817,2795729000000.0,81.6259918213,20.7578735352,-39.6194458008,2799405000000.0,72.9847717285,0.61848449707,-39.7862739563,2797017000000.0,74.1418609619,-10.8454437256,-37.8833618164,2798869000000.0,57.3412780762,-9.59582519531,-38.7185440063,2834849000000,75.1562805176,-28.7623291016,-37.2661323547
2821109000000.0,73.4191131592,41.1325531006,-34.8375549316,2795817000000.0,79.3574981689,18.8252716064,-39.7066078186,2799485000000.0,70.5746612549,-0.35856628418,-40.1054382324,2797097000000.0,72.2099304199,-10.7402496338,-38.6197776794,2798965000000.0,55.0202331543,-10.4274902344,-38.7830123901,2834953000000,74.1052703857,-26.9182434082,-38.1238327026
2821217000000.0,71.1330566406,39.1750640869,-34.8349685669,2795901000000.0,78.7425689697,19.4890136719,-38.6195907593,2799585000000.0,68.1645507812,-1.33563232422,-40.4246025085,2797181000000.0,70.3456420898,-11.2287902832,-38.7413711548,2799045000000.0,52.6991882324,-11.2591705322,-38.8474845886,2835097000000,71.9728393555,-27.4653625488,-38.1892242432
2821305000000.0,71.0180358887,38.7028961182,-34.6385917664,2795989000000.0,77.5333862305,17.7545776367,-23.6288452148,2799729000000.0,68.9770812988,1.02523803711,-40.0532836914,2797309000000.0,68.1576843262,-12.0166015625,-38.7761421204,2799141000000.0,50.3781738281,-12.0908355713,-38.9119567871,2835181000000,69.8404083252,-28.0124816895,-38.2546157837
