ORB_detection_left_height,ORB_kalman_left_height,ORB_detection_right_height,ORB_kalman_right_height,ORB_detection_top_width,ORB_kalman_top_width,ORB_detection_bottom_width,ORB_kalman_bottom_width,ORB_detection_angle,ORB_kalman_angle,ORB_detection_center_x,ORB_kalman_center_x,ORB_detection_center_y,ORB_kalman_center_y,SIFT_detection_left_height,SIFT_kalman_left_height,SIFT_detection_right_height,SIFT_kalman_right_height,SIFT_detection_top_width,SIFT_kalman_top_width,SIFT_detection_bottom_width,SIFT_kalman_bottom_width,SIFT_detection_angle,SIFT_kalman_angle,SIFT_detection_center_x,SIFT_kalman_center_x,SIFT_detection_center_y,SIFT_kalman_center_y,SURF_detection_left_height,SURF_kalman_left_height,SURF_detection_right_height,SURF_kalman_right_height,SURF_detection_top_width,SURF_kalman_top_width,SURF_detection_bottom_width,SURF_kalman_bottom_width,SURF_detection_angle,SURF_kalman_angle,SURF_detection_center_x,SURF_kalman_center_x,SURF_detection_center_y,SURF_kalman_center_y
88.5319,15.4744,89.542,14.4643,88.514,15.3069,88.8118,15.0091,2.4587,11.5925,311.885,1.6721,244.195,0.5372,1.968,2.5591,1.4714,5.314,0.4206,2.4529,2.2771,4.7591,0.2506,1.6053,24.3975,24.5733,29.9102,34.3681,108.0345,108.0345,43.5302,43.5302,43.72,43.72,56.5072,56.5072,179.0874,179.0874,343.9625,343.9625,242.43,242.43
10.018,10.7784,11.7335,19.0229,10.4904,8.3775,2.6372,8.9242,3.255,10.284,0.769,0.7396,2.3542,2.3713,4.7511,4.7464,6.7576,4.2419,2.8774,3.3221,2.7782,2.5606,0.6978,3.0297,1.9004,14.4452,0.5053,21.9919,44.6942,44.6942,43.4693,43.4693,44.2441,44.2441,43.5946,43.5946,3.7747,3.7747,302.6025,302.6025,223.2375,223.2375
90.9856,8.5396,92.0653,7.4599,92.4175,6.1427,92.4449,6.1153,1.7853,4.4498,309.75,1.4408,242.97,1.1936,0.2527,4.53,1.468,3.812,2.3681,3.7567,0.361,2.2051,0.3476,1.8077,0.8398,1.0072,1.2366,0.4958,42.8192,42.8192,43.3431,43.3431,43.276,43.276,43.353,43.353,7.6217,7.6217,331.2325,331.2325,255.3275,255.3275
93.327,3.9292,93.81,3.4462,93.3225,2.3811,95.1117,0.592,1.223,3.1798,309.09,0.9534,242.545,0.1295,55.9386,6.1713,56.4603,5.6497,56.4546,2.0215,57.1739,1.3022,1.2628,0.5536,318.1975,0.1008,252.81,0.4479,42.3486,42.3486,39.9326,39.9326,43.7157,43.7157,42.9613,42.9613,7.436,7.436,334.8275,334.8275,250.775,250.775
11.9053,3.3291,0.56,3.3399,10.5478,1.3839,8.6227,0.3739,2.3792,3.57,0.0095,0.5322,0.3398,0.204,11.8562,6.5038,0.149,6.1506,3.9812,2.7734,10.0771,2.4211,8.0872,0.0576,0.3223,0.8852,0.225,0.2337,43.3647,43.3647,41.7731,41.7731,43.0441,43.0441,42.709,42.709,4.0952,4.0952,311.6825,311.6825,242.475,242.475
96.393,2.2003,96.8813,1.712,98.6413,2.1147,97.3749,0.8483,0.5766,3.2287,308.4525,1.3975,241.2775,0.9424,7.1295,5.1121,5.4099,5.1257,5.4971,2.5662,4.1754,1.0364,1.6424,1.8539,0.2447,0.1182,0.0665,0.2266,42.9799,42.9799,40.6054,40.6054,42.7997,42.7997,43.0069,43.0069,2.3721,2.3721,330.6925,330.6925,259.6375,259.6375
97.383,2.277,97.1253,2.5349,98.8903,1.3843,98.65,1.144,0,1.8511,308.58,0.5336,240.445,0.2623,56.7279,5.6281,56.4423,5.9137,56.4451,4.0986,57.7122,2.8315,0.4964,0.803,316.7175,0.7748,250.105,0.9187,43.451,2.8029,43.7526,2.5012,43.4548,3.6344,44.2011,2.8881,4.8928,11.2155,332.31,6.7396,262.5625,25.2106
4.9557,4.9343,12.3663,4.4291,1.6163,2.5203,16.3316,3.539,3.3949,1.8941,3.0436,3.135,0.3871,0.4616,6.6811,6.7245,5.0271,5.2076,5.4658,4.5017,5.294,4.2145,1.6541,1.8497,0.1323,0.2405,0.0819,0.5623,44.2919,1.969,44.8526,1.4083,45.3515,1.7449,44.8408,2.2556,3.4392,9.7628,316.715,8.9796,241.0375,3.595
27.2326,5.4577,47.7624,6.8977,15.2338,8.406,32.7789,8.4007,21.1795,7.2286,2.2004,2.7901,0.5288,0.2751,11.331,6.9355,12.5188,6.7233,2.7021,4.4437,4.864,4.7395,20.5136,1.2837,1.6236,0.6267,1.9196,0.9111,47.3379,1.0676,47.1495,0.8792,47.3214,0.2155,47.4941,0.3882,2.172,8.4967,329.925,4.0648,255.955,18.3918
1.821,8.5853,26.3984,8.57,2.4729,8.8972,26.0369,8.1774,9.213,7.4983,3.1883,3.258,0.0657,0.2925,55.9391,4.9433,55.1846,5.6978,56.7051,3.3091,56.44,3.5742,0,3.6505,314.81,0.775,246.295,0.767,50.0062,3.7288,49.8532,3.5758,50.7619,3.6487,49.8632,2.7501,2.8854,9.211,335.8625,9.8781,261.4425,23.7888
6.4597,6.2501,3.2795,6.2401,9.9193,7.5889,6.2117,7.5891,4.3759,4.0391,1.2817,0.8771,0.7813,0.5155,56.5203,5.3301,49.8017,4.9748,3.1099,4.1288,66.7906,3.7597,7.5471,5.028,5.2879,1.3465,3.3347,1.3077,53.5902,0.5276,51.9749,2.1429,52.8937,4.1796,53.0427,4.0305,0.5833,4.1014,341.6125,3.7412,268.0025,4.0146
